time,H_s
2023-09-21 00:00:00,1.9252464
2023-09-21 01:00:00,1.9153658
2023-09-21 02:00:00,1.8610799
2023-09-21 03:00:00,1.8172868
2023-09-21 04:00:00,1.7911392
2023-09-21 05:00:00,1.7718703
2023-09-21 06:00:00,1.7591919
2023-09-21 07:00:00,1.7516906
2023-09-21 08:00:00,1.7478085
2023-09-21 09:00:00,1.7461323
2023-09-21 10:00:00,1.745292
2023-09-21 11:00:00,1.7442343
2023-09-21 12:00:00,1.7420318
2023-09-21 13:00:00,1.7380955
2023-09-21 14:00:00,1.7321721
2023-09-21 15:00:00,1.7243932
2023-09-21 16:00:00,1.715077
2023-09-21 17:00:00,1.7045239
2023-09-21 18:00:00,1.693183
2023-09-21 19:00:00,1.6814635
2023-09-21 20:00:00,1.6697265
2023-09-21 21:00:00,1.6582013
2023-09-21 22:00:00,1.6470814
2023-09-21 23:00:00,1.6367708
2023-09-22 00:00:00,1.6272154
2023-09-22 01:00:00,1.6183823
2023-09-22 02:00:00,1.6101834
2023-09-22 03:00:00,1.6027433
2023-09-22 04:00:00,1.5961243
2023-09-22 05:00:00,1.590164
2023-09-22 06:00:00,1.5848961
2023-09-22 07:00:00,1.5802956
2023-09-22 08:00:00,1.5761526
2023-09-22 09:00:00,1.5724683
2023-09-22 10:00:00,1.5692607
2023-09-22 11:00:00,1.5665013
2023-09-22 12:00:00,1.5641755
2023-09-22 13:00:00,1.5624485
2023-09-22 14:00:00,1.561524
2023-09-22 15:00:00,1.5613631
2023-09-22 16:00:00,1.5623031
2023-09-22 17:00:00,1.5646789
2023-09-22 18:00:00,1.5683136
2023-09-22 19:00:00,1.5735196
2023-09-22 20:00:00,1.5804574
2023-09-22 21:00:00,1.5883954
2023-09-22 22:00:00,1.5978425
2023-09-22 23:00:00,1.6103399
2023-09-23 00:00:00,1.6257234
2023-09-23 01:00:00,1.6482921
2023-09-23 02:00:00,1.7640376
2023-09-23 03:00:00,2.1406147
2023-09-23 04:00:00,2.324256
2023-09-23 05:00:00,2.628439
2023-09-23 06:00:00,3.075335
2023-09-23 07:00:00,3.402247
2023-09-23 08:00:00,3.3382912
2023-09-23 09:00:00,3.1246333
2023-09-23 10:00:00,2.914383
2023-09-23 11:00:00,2.6990395
2023-09-23 12:00:00,2.5185757
2023-09-23 13:00:00,2.3861442
2023-09-23 14:00:00,2.3034575
2023-09-23 15:00:00,2.2558646
2023-09-23 16:00:00,2.2309337
2023-09-23 17:00:00,2.272984
2023-09-23 18:00:00,2.3591638
2023-09-23 19:00:00,2.450718
2023-09-23 20:00:00,2.5053234
2023-09-23 21:00:00,2.5514793
2023-09-23 22:00:00,2.606987
2023-09-23 23:00:00,2.6451468
2023-09-24 00:00:00,2.6807551
2023-09-24 01:00:00,2.7199745
2023-09-24 02:00:00,2.753491
2023-09-24 03:00:00,2.783132
2023-09-24 04:00:00,2.809825
2023-09-24 05:00:00,2.8293433
2023-09-24 06:00:00,2.8463883
2023-09-24 07:00:00,2.864358
2023-09-24 08:00:00,2.8840709
2023-09-24 09:00:00,2.9080267
2023-09-24 10:00:00,2.9390144
2023-09-24 11:00:00,2.9782481
2023-09-24 12:00:00,3.0282435
2023-09-24 13:00:00,3.0900764
2023-09-24 14:00:00,3.2249355
2023-09-24 15:00:00,3.3966322
2023-09-24 16:00:00,3.5594263
2023-09-24 17:00:00,3.839645
2023-09-24 18:00:00,4.174205
2023-09-24 19:00:00,4.445223
2023-09-24 20:00:00,4.66518
2023-09-24 21:00:00,4.8438067
2023-09-24 22:00:00,4.9942102
2023-09-24 23:00:00,5.1293783
2023-09-25 00:00:00,5.2535796
2023-09-25 01:00:00,5.3701043
2023-09-25 02:00:00,5.4692073
2023-09-25 03:00:00,5.556991
2023-09-25 04:00:00,5.6446466
2023-09-25 05:00:00,5.7137523
2023-09-25 06:00:00,5.768759
2023-09-25 07:00:00,5.8068895
2023-09-25 08:00:00,5.7276735
2023-09-25 09:00:00,5.6074963
2023-09-25 10:00:00,5.4928093
2023-09-25 11:00:00,5.3361025
2023-09-25 12:00:00,5.1717734
2023-09-25 13:00:00,5.0173497
2023-09-25 14:00:00,4.882014
2023-09-25 15:00:00,4.7536983
2023-09-25 16:00:00,4.6258326
2023-09-25 17:00:00,4.5231357
2023-09-25 18:00:00,4.430393
2023-09-25 19:00:00,4.335554
2023-09-25 20:00:00,4.2599783
2023-09-25 21:00:00,4.1937876
2023-09-25 22:00:00,4.1257133
2023-09-25 23:00:00,4.079213
2023-09-26 00:00:00,4.048714
2023-09-26 01:00:00,4.0159907
2023-09-26 02:00:00,3.9604235
2023-09-26 03:00:00,3.8993802
2023-09-26 04:00:00,3.8463793
2023-09-26 05:00:00,3.7833548
2023-09-26 06:00:00,3.7240305
2023-09-26 07:00:00,3.6771936
2023-09-26 08:00:00,3.6292605
2023-09-26 09:00:00,3.5859575
2023-09-26 10:00:00,3.5515428
2023-09-26 11:00:00,3.5133333
2023-09-26 12:00:00,3.4773564
2023-09-26 13:00:00,3.447659
2023-09-26 14:00:00,3.3942704
2023-09-26 15:00:00,3.338131
2023-09-26 16:00:00,3.292193
2023-09-26 17:00:00,3.2330909
2023-09-26 18:00:00,3.1766534
2023-09-26 19:00:00,3.1322274
2023-09-26 20:00:00,3.0679984
2023-09-26 21:00:00,3.0098877
2023-09-26 22:00:00,2.9700742
2023-09-26 23:00:00,2.9325843
2023-09-27 00:00:00,2.9078946
2023-09-27 01:00:00,2.8979297
2023-09-27 02:00:00,2.9065933
2023-09-27 03:00:00,2.9308681
2023-09-27 04:00:00,2.961502
2023-09-27 05:00:00,3.0183535
2023-09-27 06:00:00,3.0937052
2023-09-27 07:00:00,3.1733289
2023-09-27 08:00:00,3.182722
2023-09-27 09:00:00,3.1651382
2023-09-27 10:00:00,3.156376
2023-09-27 11:00:00,3.1420808
2023-09-27 12:00:00,3.1308174
2023-09-27 13:00:00,3.1225295
2023-09-27 14:00:00,3.1154008
2023-09-27 15:00:00,3.1070514
2023-09-27 16:00:00,3.096109
2023-09-27 17:00:00,3.1030016
2023-09-27 18:00:00,3.1198044
2023-09-27 19:00:00,3.1234622
2023-09-27 20:00:00,3.0775504
2023-09-27 21:00:00,3.0239506
2023-09-27 22:00:00,2.9809995
2023-09-27 23:00:00,2.9319139
2023-09-28 00:00:00,2.887834
2023-09-28 01:00:00,2.8512764
2023-09-28 02:00:00,2.8339553
2023-09-28 03:00:00,2.8293586
2023-09-28 04:00:00,2.8275046
2023-09-28 05:00:00,2.8849072
2023-09-28 06:00:00,2.9744549
2023-09-28 07:00:00,3.0507503
2023-09-28 08:00:00,3.2309947
2023-09-28 09:00:00,3.4554162
2023-09-28 10:00:00,3.663115
2023-09-28 11:00:00,4.0431285
2023-09-28 12:00:00,4.461981
2023-09-28 13:00:00,4.7928514
2023-09-28 14:00:00,4.9783797
2023-09-28 15:00:00,5.079696
2023-09-28 16:00:00,5.135908
2023-09-28 17:00:00,5.1149592
2023-09-28 18:00:00,5.053055
2023-09-28 19:00:00,4.980461
2023-09-28 20:00:00,4.868042
2023-09-28 21:00:00,4.7481766
2023-09-28 22:00:00,4.6411934
2023-09-28 23:00:00,4.513963
2023-09-29 00:00:00,4.390159
2023-09-29 01:00:00,4.2844005
2023-09-29 02:00:00,4.1501684
2023-09-29 03:00:00,4.015952
2023-09-29 04:00:00,3.9040012
2023-09-29 05:00:00,3.773707
2023-09-29 06:00:00,3.648312
2023-09-29 07:00:00,3.5441995
2023-09-29 08:00:00,3.3937335
2023-09-29 09:00:00,3.246437
2023-09-29 10:00:00,3.1263747
2023-09-29 11:00:00,3.0050159
2023-09-29 12:00:00,2.8963919
2023-09-29 13:00:00,2.803237
2023-09-29 14:00:00,2.7195525
2023-09-29 15:00:00,2.644001
2023-09-29 16:00:00,2.575172
2023-09-29 17:00:00,2.5111918
2023-09-29 18:00:00,2.4519405
2023-09-29 19:00:00,2.3969865
2023-09-29 20:00:00,2.345477
2023-09-29 21:00:00,2.2972615
2023-09-29 22:00:00,2.2521496
2023-09-29 23:00:00,2.2097926
2023-09-30 00:00:00,2.1698647
2023-09-30 01:00:00,2.132358
2023-09-30 02:00:00,2.097062
2023-09-30 03:00:00,2.0637388
2023-09-30 04:00:00,2.0325923
2023-09-30 05:00:00,2.004124
2023-09-30 06:00:00,1.9784908
2023-09-30 07:00:00,1.9568554
2023-09-30 08:00:00,1.9362563
2023-09-30 09:00:00,1.9170702
2023-09-30 10:00:00,1.9006777
2023-09-30 11:00:00,1.8868117
2023-09-30 12:00:00,1.8751606
2023-09-30 13:00:00,1.8661395
2023-09-30 14:00:00,1.8604093
2023-09-30 15:00:00,1.8578602
2023-09-30 16:00:00,1.8574388
2023-09-30 17:00:00,1.8611753
2023-09-30 18:00:00,1.8709158
2023-09-30 19:00:00,1.8878937
2023-09-30 20:00:00,1.9536704
2023-09-30 21:00:00,2.0452356
2023-09-30 22:00:00,2.1310933
2023-09-30 23:00:00,2.3293743
2023-10-01 00:00:00,2.5669699
2023-10-01 01:00:00,2.75428
2023-10-01 02:00:00,2.8824325
2023-10-01 03:00:00,2.9912162
2023-10-01 04:00:00,3.0928082
2023-10-01 05:00:00,3.163649
2023-10-01 06:00:00,3.220426
2023-10-01 07:00:00,3.2708468
2023-10-01 08:00:00,3.3249326
2023-10-01 09:00:00,3.376175
2023-10-01 10:00:00,3.4212008
2023-10-01 11:00:00,3.474352
2023-10-01 12:00:00,3.5297089
2023-10-01 13:00:00,3.5824661
2023-10-01 14:00:00,3.660181
2023-10-01 15:00:00,3.7448616
2023-10-01 16:00:00,3.822421
2023-10-01 17:00:00,3.9226465
2023-10-01 18:00:00,4.026866
2023-10-01 19:00:00,4.117958
2023-10-01 20:00:00,4.1917534
2023-10-01 21:00:00,4.2522655
2023-10-01 22:00:00,4.3063345
2023-10-01 23:00:00,4.3480535
2023-10-02 00:00:00,4.3780317
2023-10-02 01:00:00,4.401084
2023-10-02 02:00:00,4.403434
2023-10-02 03:00:00,4.399916
2023-10-02 04:00:00,4.396066
2023-10-02 05:00:00,4.3758903
2023-10-02 06:00:00,4.351123
2023-10-02 07:00:00,4.326485
2023-10-02 08:00:00,4.274844
2023-10-02 09:00:00,4.2135997
2023-10-02 10:00:00,4.15638
2023-10-02 11:00:00,4.081062
2023-10-02 12:00:00,4.004699
2023-10-02 13:00:00,3.9377704
2023-10-02 14:00:00,3.8932672
2023-10-02 15:00:00,3.8605814
2023-10-02 16:00:00,3.8311572
2023-10-02 17:00:00,3.822565
2023-10-02 18:00:00,3.8220906
2023-10-02 19:00:00,3.819232
2023-10-02 20:00:00,3.8188138
2023-10-02 21:00:00,3.8095646
2023-10-02 22:00:00,3.7907553
2023-10-02 23:00:00,3.7678108
2023-10-03 00:00:00,3.7372794
2023-10-03 01:00:00,3.6983232
2023-10-03 02:00:00,3.6322865
2023-10-03 03:00:00,3.5662436
2023-10-03 04:00:00,3.5101914
2023-10-03 05:00:00,3.4392443
2023-10-03 06:00:00,3.3736448
2023-10-03 07:00:00,3.3207273
2023-10-03 08:00:00,3.3225079
2023-10-03 09:00:00,3.3384633
2023-10-03 10:00:00,3.343707
2023-10-03 11:00:00,3.4012117
2023-10-03 12:00:00,3.464911
2023-10-03 13:00:00,3.5039968
2023-10-03 14:00:00,3.485549
2023-10-03 15:00:00,3.4590368
2023-10-03 16:00:00,3.4449844
2023-10-03 17:00:00,3.402594
2023-10-03 18:00:00,3.3680305
2023-10-03 19:00:00,3.3538527
2023-10-03 20:00:00,3.3398762
2023-10-03 21:00:00,3.324586
2023-10-03 22:00:00,3.316277
2023-10-03 23:00:00,3.2968054
2023-10-04 00:00:00,3.2707915
